module|name|system_name|display_name & description|ADSUPR|ADBROK|ADSYST|MGCOMP|MGAGSV|MGCLSV|MGBZDV|MGLEAS|MGMTNC|MGACCT|MGLSEN|STCOMP|STAGSV|STCLSV|STBZDV|STLEAS|STMTNC|STACCT|STLSEN|ACCTEX|AGNTAF|AGNTUN|BUYER|SELLER|TENANT|VENDSA|VENDMT|Notes
contacts|Add contact type sales vendor|Contacts_Vendor_Sales_Add|Add contact type sales vendor|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
contacts|Add contact type maintenance vendor|Contacts_Vendor_Maintenance|Add contact type maintenance vendor|x|x|x||||||x||||||||x|||||||||||
contacts|"Edit field ""Assigned Date"" on contact detail "|Contacts_notowned_assigneddate_edit|"User can edit ""Assigned Date"" field on Contact Detail"|x|x|x||||x||||||||x|||||||||||||
contacts|"Edit field ""Closed Date"" on contact detail"|Contacts_notowned_closeddate_edit|"User can edit ""Closed Date"" field on Contact Detail"|x|x|x||||x| |||||||x|||||||||||||
tasks|"Access to ""Tasks"" module"|tasks_access|Access to the Tasks module|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
tasks|View all tasks|tasks_all_view|View all tasks|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||
tasks|View tasks assigned to you|tasks_own_view|View tasks created by the user||||||||||||||||||||x|x|||||||
tasks|View tasks assigned to team members|tasks_team_view|View tasks of team members||||||||||||||||||||x|x|||||||
tasks|Manage task templates|task_templates|Add, Edit, Delete task templates|x|x|x|x|x|x|x|x|x|x|x|||||||||x|x|||||||
tasks|Add tasks from a template|task_list_add |Apply a task template|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||
tasks|Assign a task to all users/groups|tasks_all_assign|Assign a task to any user of the task system|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||
tasks|Assign a task only to team members|tasks_team_assign|Assign a task to a team member ||||||||||||||||||||x|x|||||||
tasks|Delete all tasks|tasks_all_delete|Delete any task |x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||
tasks|Delete own tasks|tasks_own_delete|Delete only a task user created||||||||||||x|x|x|x|x|x|x|x|x|x|||||||
tasks|Edit own tasks|tasks_own_edit|Edit only tasks created by the user||||||||||||||||||||x|x|||||||
tasks|Edit all tasks|tasks_all_edit|Edit any task|x|x|x|x||x|x|x|x|x|x|x||x|x|x|x|x|x|||||||||
